length,fold,char_num,accuracy_top1,accuracy_top3
2,8,12,0.9406698564593301,0.9435406698564593
2,8,13,0.9683168316831683,0.9702970297029703
2,8,14,0.9948717948717949,0.9948717948717949
2,8,15,0.96,0.96
2,8,16,0.9333333333333333,0.9333333333333333
2,8,18,0.2,0.2
2,9,1,0.7769230769230769,1.0
2,9,2,0.44747474747474747,0.7161616161616161
2,9,3,0.5863095238095238,0.7616071428571428
2,9,4,0.7232,0.8705777777777778
2,9,5,0.7895803183791607,0.8895803183791606
2,9,6,0.8388336646785951,0.8984758117958913
2,9,7,0.8727148703956343,0.9169167803547067
2,9,8,0.8919382504288165,0.9248713550600343
2,9,9,0.9130913091309131,0.935973597359736
2,9,10,0.9272131147540984,0.9452459016393443
2,9,11,0.926063829787234,0.9372340425531915
2,9,12,0.9186602870813397,0.9301435406698565
2,9,13,0.9603960396039604,0.9663366336633663
2,9,14,0.9846153846153847,0.9846153846153847
2,9,15,0.96,0.96
2,9,16,0.8666666666666667,0.8666666666666667
2,9,18,0.2,0.2
3,0,1,0.7076923076923077,0.9923076923076923
3,0,2,0.49696969696969695,0.7772727272727272
3,0,3,0.6294642857142857,0.794047619047619
3,0,4,0.7548444444444444,0.8885333333333333
3,0,5,0.8312590448625181,0.907959479015919
3,0,6,0.8656063618290258,0.9111994698475812
3,0,7,0.8942701227830833,0.9281036834924966
3,0,8,0.9106346483704975,0.9373927958833619
3,0,9,0.9306930693069307,0.9458745874587459
3,0,10,0.9370491803278689,0.9501639344262295
3,0,11,0.9441489361702128,0.948936170212766
3,0,12,0.9330143540669856,0.9368421052631579
3,0,13,0.9683168316831683,0.9742574257425742
3,0,14,0.9897435897435898,0.9897435897435898
3,0,15,0.92,0.92
3,0,16,0.6666666666666666,0.6666666666666666
3,0,18,0.2,0.2
3,1,1,0.7461538461538462,0.9692307692307692
3,1,2,0.5237373737373737,0.7883838383838384
3,1,3,0.6309523809523809,0.7949404761904761
3,1,4,0.7635555555555555,0.8867555555555555
3,1,5,0.8289435600578872,0.9069464544138929
3,1,6,0.8715705765407554,0.9172962226640159
3,1,7,0.8931787175989085,0.9294679399727148
3,1,8,0.9108061749571184,0.9356775300171527
3,1,9,0.9337733773377338,0.9498349834983498
3,1,10,0.9386885245901639,0.9527868852459016
3,1,11,0.9393617021276596,0.948936170212766
3,1,12,0.9301435406698565,0.9358851674641149
3,1,13,0.9623762376237623,0.9663366336633663
3,1,14,0.9897435897435898,0.9897435897435898
3,1,15,0.96,0.96
3,1,16,0.9333333333333333,0.9333333333333333
3,1,18,1.0,1.0
3,2,1,0.7615384615384615,0.9846153846153847
3,2,2,0.4919191919191919,0.7646464646464647
3,2,3,0.6482142857142857,0.799404761904762
3,2,4,0.7607111111111111,0.8954666666666666
3,2,5,0.8319826338639653,0.9104196816208394
3,2,6,0.8701126573889993,0.9176938369781312
3,2,7,0.8949522510231923,0.9290586630286494
3,2,8,0.9121783876500857,0.9353344768439108
3,2,9,0.9291529152915291,0.9454345434543454
3,2,10,0.9445901639344262,0.9583606557377049
3,2,11,0.9404255319148936,0.9473404255319149
3,2,12,0.9358851674641149,0.9454545454545454
3,2,13,0.9663366336633663,0.9702970297029703
3,2,14,1.0,1.0
3,2,15,0.92,0.92
3,2,16,0.8666666666666667,0.8666666666666667
3,2,18,0.6,0.6
3,3,1,0.7384615384615385,0.9923076923076923
3,3,2,0.5111111111111111,0.7909090909090909
3,3,3,0.6395833333333333,0.787797619047619
3,3,4,0.7637333333333334,0.8910222222222223
3,3,5,0.826917510853835,0.902315484804631
3,3,6,0.8728959575878065,0.9129224652087475
3,3,7,0.8918144611186903,0.9296043656207367
3,3,8,0.9142367066895368,0.9368782161234992
3,3,9,0.9324532453245324,0.9476347634763477
3,3,10,0.9363934426229508,0.9537704918032787
3,3,11,0.9372340425531915,0.9441489361702128
3,3,12,0.9215311004784689,0.9339712918660287
3,3,13,0.9683168316831683,0.9722772277227723
3,3,14,0.9794871794871794,0.9846153846153847
3,3,15,0.96,0.98
3,3,16,0.9333333333333333,0.9333333333333333
3,3,18,0.0,0.0
3,4,1,0.7384615384615385,0.9923076923076923
3,4,2,0.5227272727272727,0.7878787878787878
3,4,3,0.631547619047619,0.7860119047619047
3,4,4,0.7687111111111111,0.8904888888888889
3,4,5,0.8327062228654124,0.9081041968162084
3,4,6,0.8727634194831014,0.914777998674619
3,4,7,0.8972714870395634,0.9332878581173261
3,4,8,0.9188679245283019,0.9411663807890223
3,4,9,0.9355335533553355,0.9531353135313532
3,4,10,0.9354098360655738,0.9511475409836065
3,4,11,0.9462765957446808,0.9521276595744681
3,4,12,0.937799043062201,0.9464114832535885
3,4,13,0.9702970297029703,0.9702970297029703
3,4,14,0.9897435897435898,0.9897435897435898
3,4,15,0.98,0.98
3,4,16,0.8,0.8
3,4,18,0.6,0.6
3,5,1,0.7384615384615385,0.9846153846153847
3,5,2,0.5186868686868686,0.7818181818181819
3,5,3,0.6467261904761905,0.7958333333333333
3,5,4,0.7564444444444445,0.8844444444444445
3,5,5,0.8327062228654124,0.9063675832127351
3,5,6,0.8667992047713717,0.9130550033134526
3,5,7,0.8978171896316508,0.9289222373806275
3,5,8,0.9120068610634648,0.9373927958833619
3,5,9,0.9304730473047305,0.9445544554455445
3,5,10,0.9406557377049181,0.9544262295081967
3,5,11,0.9351063829787234,0.9446808510638298
3,5,12,0.9291866028708134,0.9368421052631579
3,5,13,0.9762376237623762,0.9801980198019802
3,5,14,0.9948717948717949,0.9948717948717949
3,5,15,0.94,0.94
3,5,16,0.7333333333333333,0.7333333333333333
3,5,18,0.6,0.6
3,6,1,0.7153846153846154,1.0
3,6,2,0.5191919191919192,0.7944444444444444
3,6,3,0.6488095238095238,0.8002976190476191
3,6,4,0.7637333333333334,0.8924444444444445
3,6,5,0.8380607814761215,0.9109985528219972
3,6,6,0.8762094102054341,0.9171636845593109
3,6,7,0.894406548431105,0.9289222373806275
3,6,8,0.913893653516295,0.9373927958833619
3,6,9,0.9322332233223323,0.9489548954895489
3,6,10,0.9508196721311475,0.9619672131147541
3,6,11,0.9361702127659575,0.9425531914893617
3,6,12,0.939712918660287,0.9483253588516747
3,6,13,0.9663366336633663,0.9722772277227723
3,6,14,0.9897435897435898,0.9897435897435898
3,6,15,0.94,0.94
3,6,16,0.8,0.8
3,6,18,0.6,0.6
3,7,1,0.7461538461538462,0.9923076923076923
3,7,2,0.5287878787878788,0.793939393939394
3,7,3,0.6526785714285714,0.8032738095238096
3,7,4,0.7617777777777778,0.8912
3,7,5,0.8416787264833574,0.914616497829233
3,7,6,0.8742213386348575,0.9168986083499006
3,7,7,0.8975443383356071,0.9311050477489768
3,7,8,0.9133790737564322,0.9363636363636364
3,7,9,0.933993399339934,0.9496149614961497
3,7,10,0.94,0.9531147540983607
3,7,11,0.9457446808510638,0.948404255319149
3,7,12,0.9330143540669856,0.938755980861244
3,7,13,0.9603960396039604,0.9683168316831683
3,7,14,0.9948717948717949,0.9948717948717949
3,7,15,1.0,1.0
3,7,16,0.7333333333333333,0.7333333333333333
3,7,18,0.6,0.6
3,8,1,0.7692307692307693,1.0
3,8,2,0.5070707070707071,0.7893939393939394
3,8,3,0.6383928571428571,0.8005952380952381
3,8,4,0.7708444444444444,0.8906666666666667
3,8,5,0.8298118668596237,0.9056439942112879
3,8,6,0.8689198144466534,0.9129224652087475
3,8,7,0.8941336971350614,0.9312414733969986
3,8,8,0.9121783876500857,0.9355060034305317
3,8,9,0.9291529152915291,0.9434543454345434
3,8,10,0.9478688524590164,0.9590163934426229
3,8,11,0.9367021276595745,0.9441489361702128
3,8,12,0.9349282296650717,0.938755980861244
3,8,13,0.9683168316831683,0.9702970297029703
3,8,14,1.0,1.0
3,8,15,0.94,0.94
3,8,16,0.7333333333333333,0.7333333333333333
