Time,Type,X,Y,Keys,Finger
14:31:25.635,tap,[273],[48],[r],Left Index
14:31:25.935,tap,[333],[50],[t],Left Index
14:31:27.060,tap,[747],[36],[p],Right Middle
14:31:27.185,tap,[273],[33],[r],Left Index
14:31:27.511,tap,[327],[45],[t],Left Index
14:31:29.178,tap,[760],[33],[p],Right Middle
14:31:29.604,tap,[257],[32],[r],Left Index
14:31:29.904,tap,[676],[46],[o],Right Middle
14:31:30.454,tap,[337],[45],[t],Left Index
14:31:31.188,tap,[210],[34],[e],Left Index
14:31:32.038,swipe,"[240, 247]","[211, 196]","[c, t]",Left Index
14:31:34.840,tap,[467],[55],[y],Right Index
14:31:35.098,tap,[670],[55],[o],Right Index
14:31:35.373,tap,[512],[50],[u],Right Index
14:31:35.476,tap,[278],[49],[r],Left Middle
14:31:36.782,tap,[194],[48],[e],Left Middle
14:31:36.891,tap,[507],[200],[n],Right Middle
14:31:37.358,tap,[322],[183],[v],Left Index
14:31:37.442,tap,[597],[48],[i],Right Index
14:31:37.875,tap,[268],[52],[r],Left Index
14:31:37.975,tap,[675],[41],[o],Right Middle
14:31:38.692,tap,[505],[188],[n],Right Middle
14:31:39.651,swipe,"[581, 525]","[197, 191]","[m, v]",Right Middle
14:31:40.443,swipe,"[518, 471]","[204, 166]","[n, t]",Right Middle
14:31:43.336,tap,[341],[57],[t],Right Index
14:31:43.403,tap,[464],[125],[h],Right Index
14:31:43.528,tap,[211],[41],[e],Left Middle
14:31:44.062,tap,[243],[171],[c],Left Middle
14:31:44.312,tap,[68],[118],[a],Left Ring
14:31:44.520,tap,[735],[41],[p],Right Middle
14:31:44.637,tap,[596],[52],[i],Right Index
14:31:44.712,tap,[324],[69],[t],Right Index
14:31:44.912,tap,[79],[129.5],[a],Left Ring
14:31:45.029,tap,[640],[102],[k],Right Middle
14:31:46.238,tap,[673],[98],[l],Right Middle
14:31:46.638,tap,[659],[41],[o],Right Middle
14:31:47.388,tap,[230],[181],[c],Left Index
14:31:47.989,tap,[235],[185],[c],Left Index
14:31:48.239,tap,[63],[134],[a],Left Ring
14:31:48.281,tap,[708],[52],[o],Right Index
14:31:49.331,tap,[719],[48],[o],Right Index
14:31:49.540,tap,[572],[50],[i],Right Index
14:31:49.690,tap,[317],[62],[r],Left Index
14:31:50.465,tap,[237],[173],[c],Left Index
14:31:50.666,tap,[53],[124],[a],Left Ring
14:31:51.866,tap,[329],[60],[t],Right Index
14:31:51.991,tap,[462],[122],[h],Right Index
14:31:52.341,tap,[252],[181],[c],Left Middle
14:31:53.517,tap,[194],[43],[e],Left Middle
14:31:54.101,tap,[262],[174],[c],Left Middle
14:31:54.326,tap,[79],[106],[a],Left Ring
14:31:54.559,tap,[759],[36],[p],Right Middle
14:31:54.901,tap,[592],[34],[i],Right Index
14:31:55.060,tap,[325],[54],[t],Right Index
14:31:55.235,tap,[72],[98],[a],Left Ring
14:31:55.360,tap,[677],[101],[l],Right Middle
14:31:55.810,tap,[665],[30],[o],Right Middle
14:31:55.918,tap,[253],[114],[d],Left Middle
14:31:57.511,tap,[679],[28],[o],Right Middle
14:31:57.953,tap,[659],[27],[o],Right Middle
14:31:58.061,tap,[514],[57],[u],Right Middle
14:31:59.354,tap,[273],[102],[f],Left Index
14:32:00.396,tap,[276],[99],[f],Left Index
14:32:00.754,tap,[659],[22],[o],Right Index
14:32:00.880,tap,[522],[48],[u],Right Index
14:32:00.988,tap,[250],[57],[r],Left Index
